Title,Author
The Gone-Away World,Nick Harkaway
Black Juice,Margo Lanagan
Necroscope (Necroscope #1),Brian Lumley
Dead by Morning (Rituals of the Night #1),Kayla Krantz
Lone Wolf Rising (The Winters Family Saga\, #1),Jami Brumfield
Hearers of the Constant Hum,William Pauley III
Sinew of the Social Species,Ashim Shanker
Don't Forget to Breathe (Migrations\, Volume I),Ashim Shanker
Learning to Kiss in the Snow,D.B. Tarpley
Piercing,Ryū Murakami
Lick the Razor - the Definitive Collection,D.B. Tarpley
Awake in the Night Land,John C. Wright
The Starbirth Assignment: Shifter (Starbirth\, #1),J.M. Johnson
Paprika,Yasutaka Tsutsui
The Healer (The Healer\, #1),C.J. Anaya
Painted Devils: Strange Stories,Robert Aickman
The Meat Hunter,Megan  Allen
The Year of Our War (Fourlands\, #1),Steph Swainston
Bunny,Mona Awad
Middlegame (Alchemical Journeys\, #1),Seanan McGuire
Murderer's Sky,P.D.  Allen
Spilt Milk,D.K. Cassidy
God is a Mortician,Finn Briscoe
Haunted,Chuck Palahniuk
The Pack: Winter Kill,Mike Oliveri
A Season in Carcosa,Joseph S. Pulver Sr.
4 3 2 1,Paul Auster
Gun Machine,Warren Ellis
Datura,Leena Krohn
Go-Go Girls of the Apocalypse,Victor Gischler
Women of the Weird: Eerie Stories By the Gentle Sex,Seon Manley
Last Exit to Brooklyn,Hubert Selby Jr.
Queer,William S. Burroughs
The End of Everything,Megan Abbott
The Ammonite Violin & Others,Caitlín R. Kiernan
Weird Tales: A Collection of \"Original\" Paranormal Short Stories in Classic \"Weird Tales\" Style,Lyn Murray
Noctuary,Thomas Ligotti
The Blade Artist (Mark Renton\, #4),Irvine Welsh
Zoo City,Lauren Beukes
The Dark Domain,Stefan Grabiński
Trial of Flowers  (City #1),Jay Lake
The Rabbit Back Literature Society,Pasi Ilmari Jääskeläinen
Nutshell,Ian McEwan
Audition,Ryū Murakami
The Vegetarian,Han Kang
The Fan Man,William Kotzwinkle
The Third Bear,Jeff VanderMeer
Threshold (A Chance Matthews Novel),Caitlín R. Kiernan
Dark Entries,Robert Aickman
The Book of the Forsaken (The Game\, #1),Yannis Karatsioris
The Wooden Sea  (Crane's View\, #3),Jonathan Carroll
The Wine-Dark Sea,Robert Aickman
Voodoo Tales: The Ghost Stories of Henry S. Whitehead,Sarah Caldwell
Monstrocity,Jeffrey Thomas
Gateways to Abomination: Collected Short Fiction,Matthew M. Bartlett
The Taint and Other Novellas,Brian Lumley
The Unsettled Dust,Robert Aickman
Diary,Chuck Palahniuk
Universal Harvester,John Darnielle
Kingdoms of Elfin,Sylvia Townsend Warner
Wraeththu (Wraeththu #1-3),Storm Constantine
The Narrator,Michael Cisco
That Which Should Not Be,Brett J. Talley
The Bedroom Secrets of the Master Chefs,Irvine Welsh
The Little Girl Who Was Too Fond of Matches,Gaétan Soucy
Ficciones,Jorge Luis Borges
Save Yourself,Kelly Braffet
The Great God Pan And The Inmost Light (1894),Arthur Machen
Perchance to Dream: Selected Stories,Charles Beaumont
Moon Palace,Paul Auster
Cats of the Louvre (Musée du Louvre #14 & 15),Taiyo Matsumoto
The Golem,Gustav Meyrink
Aurorarama  (The Mysteries of New Venice\, #1),Jean-Christophe Valtat
Tree of Smoke,Denis Johnson
The Anomaly (The Anomaly Files #1),Michael Rutger
Dark Awakenings,Matt Cardin
The King in the Golden Mask and Other Stories,Marcel Schwob
Howl and Other Poems,Allen Ginsberg
Sorrowland,Rivers Solomon
The Red Tree,Caitlín R. Kiernan
Darkness at Noon,Arthur Koestler
Ancestral Shadows: An Anthology of Ghostly Tales,Russell Kirk
The Dharma Bums,Jack Kerouac
Almost Transparent Blue,Ryū Murakami
The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre,H.P. Lovecraft
The Ape's Wife and Other Stories,Caitlín R. Kiernan
The Club Dumas,Arturo Pérez-Reverte
That Book Your Mad Ancestor Wrote,K.J. Bishop
The Search for Joseph Tully,William H. Hallahan
The City We Became (Great Cities\, #1),N.K. Jemisin
The Half-Made World (The Half-Made World\, #1),Felix Gilman
Winterlong (Winterlong\, #1),Elizabeth Hand
The Beautiful Thing That Awaits Us All,Laird Barron
The Terror,Dan Simmons
Lovecraft Country,Matt Ruff
The Illuminatus! Trilogy,Robert Shea
The Invisibles\, Volume 1: Say You Want a Revolution,Grant Morrison
Year's Best Weird Fiction\, Vol. 1,Laird Barron
Perfume: The Story of a Murderer,Patrick Süskind
The Invisibles\, Vol. 2: Apocalipstick,Grant Morrison
The Invisibles\, Vol. 7: The Invisible Kingdom,Grant Morrison
The Invisibles\, Vol. 3: Entropy in the U.K.,Grant Morrison
The Invisibles\, Vol. 4: Bloody Hell in America,Grant Morrison
Hex (Robert Grim\, #1),Thomas Olde Heuvelt
The Invisibles\, Vol. 5: Counting to None,Grant Morrison
The House on the Borderland,William Hope Hodgson
The Invisibles\, Vol. 6: Kissing Mister Quimper,Grant Morrison
The Ballad of Black Tom,Victor LaValle
We,Yevgeny Zamyatin
The Eight (The Eight\, #1),Katherine Neville
Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore\, #1),Robin Sloan
The Curious Incident of the Dog in the Night-Time,Mark Haddon
Circus of the Dead,Seth Blackburn
Nuclear Winter Wonderland,Joshua Corin
Stryx,Jeffrey Kosh
The Burning Maiden,Greg Kishbaugh
Blubber Island,Guillermo Galvan
Twistir,Pierce Minor
Nova Swing (Kefahuchi Tract\, #2),M. John Harrison
Spiritus Mundi - The Romance (Spiritus Mundi\, #2),Robert   Sheppard
Creating Monsters,Christopher Rankin
Pilgrimage,Steven Orlowski
Bisexual Vegetarian Zombies,Ron Albury
A Naive Heart,Sarah Becks
Kill Zombies (Leopard King Saga\, #1.1),T.A. Uner
Read Us or Die,Jason Gehlert
The Fish,Dean Garlick
Occult Nazi Go-Go Girls Storm Tibet,A.K. Forest
Dead Size,Sawney Hatton
The Mobius Twist\, Alien Abduction and Judgement of the Human Race,Markham Turner
Strangely Funny II,Sarah E. Glenn
The Earthquake Machine,Mary Pauline Lowry
Sock,Penn Jillette
Midnight Never Ends,Thomas Amo
The pragmatic hitchhiker (Acoustic Funambulist #5),Jean-Yves Crozier
Alien Invasion and Other Inconveniences,Brian Yansky
The Werewolf Pack (Brackett Hollister\, #1),Quentin Wallace
Blood Trap,Miley Styles
The Yeti,Mike  Miller
Leeds House,T/James Reagan
The Shepherd's Journals,Drew  Andrews
Lactose-Intolerant Whore of Babylon Vs. Santa Claus & Two More Sleaze-Drenched Tales,Mark McLaughlin
Return to 'Return to Oz' and other tales,Justin MacCormack
Zen and the Art of Cannibalism: A Zomedy,Daniel Younger
Fairy of Teeth,Norman Crane
Cyclonopedia: Complicity with Anonymous Materials (Anomaly),Reza Negarestani
I Have Not Answered,Adam Grydehøj
High Strange Horror: Weird Tales of Paranoia and the Damned,Jonathan Raab
The Fifty-Seven Lives of Alex Wayfare,M.G. Buehrlen
The Metanatural Adventures of Dr. Black,Brendan Connell
Birdsnatch (A Tale Told Twice #1),C.J.  Cummings
Reaper: Awakening,Seth Gruner
Un día perfecto para Elis,Juanse Gutiérrez
Bits Specks Crumbs Flecks,Michael C. Keith
Dead Dwight: a dark comedy,E.V. Iverson
Hundred Ghost Soup,Robert Chansky
Tomorrow's Cthulhu: Stories at the Dawn of Posthumanity,Scott Gable
Death By Vampire,Christina Engela
Safe in Your Fire (The Village\, #1),Darien Cox
The Weaver of Odds (Vivian Amberville\, #1),Louise Blackwick
The Gospel of Lie: A Grieving Christian Searches the Bible for a New Jesus,Joshua Lie
Memories of a Butterfly,Ivan Vlasov
Dark Gifts: Titan's Song Series - Season 1: Episode 1 (Titan's Song #1),Jacob Stanley
Blue Bottle Tree,Beaird Glover
Florida Gothic (Gothic\, #1),Mitzi Szereto
The Death of Love (The Damned Hunger Chronicles #2),D.B. Tarpley
The Way Inn,Will Wiles
God Drug,Stephen L. Antczak
The Wishnik,Kurt Newton
Observatory Mansions,Edward Carey
The Black Heart: A Dark Disturbing Cannibalistic Murder Thriller (Nepolai A Noir Murder Series),Allen  Dark
Skin Food,Type A
California Screamin',Danielle Kaheaku
Horn-Horn (The Horn-Horn Series),A.D.T. McLellan
The Black Dog Eats the City,Chris Kelso
The Rise of Seth: The Bloodstone Chronicles (Book #1),Sam Beach
The Pisces,Melissa Broder
Pragma: Stand In Love (Karass Chronicles #2),Beca Lewis
Exousia: What Truth Reveals (Karass Chronicles #4),Beca Lewis
The Blood of Winter (Demons of Lost Souls #1),John Ozmore
The Hollowed,Jay Caselberg
Quantum Cannibals,Nathan Elberg
Shadowland: A Dark Fantasy Romance Novel,J.D. Cavalida
Autumn Secrets (The Nevermore Parables\, #3),Cecelia Hopkins-Drewer
Sub Rosa,Robert Aickman
Killing the Unicorn,Lizella Prescott
Paperclip,Dan Woll
99 Practical Methods of Utilizing Boiled Beef: With a new Preface from the Publisher,Babet
Daughters of the Air,Anca L. Szilagyi
Tales of the Astonishing Black Spark,Charlie J. Eskew
Turbulence (The Wanderer #1),Bruce McLaren
The Damned Place,Chris    Miller
